#	YIXIN17	GORO17	HEWER15	SLOWRENJU17	TITO14	SWINE17	CARBON17	WINE	EMBRYO	PELA17	WHOSE	GMOTOR11	CHIS17	XOXO17	KANEC09	ZETOR17	EULRING	LICHT	JUDE	PECUCHET	SPARKLE	QMENTAT6	PUSKVOREC	NOESIS	IMRO15	FASTGOMOKU14	PISQ7	DJALL	BENJAMIN	VALKYRIE	STAHLFAUST	FIVEROW	PUREROCKY	CRUSHER	PROLOG36	MUSHROOM	GAMMAKU.FG
YIXIN17	-	19 : 5	20 : 4	24 : 0	24 : 0	22 : 2	23 : 1	22 : 2	22 : 2	24 : 0	23 : 1	22 : 2	22 : 2	24 : 0	23 : 1	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
GMOTOR11	2 : 22	4 : 20	1 : 23	3 : 21	2 : 22	4 : 20	5 : 19	12 : 12	7 : 17	15 : 9	14 : 10	-	11 : 13	16 : 8	17 : 7	15 : 9	19 : 5	19 : 5	24 : 0	21 : 3	22 : 2	23 : 1	24 : 0	23 : 1	23 : 1	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
CHIS17	2 : 22	1 : 23	3 : 21	3 : 21	6 : 18	3 : 21	6 : 18	8 : 16	14 : 10	10 : 14	8 : 16	13 : 11	-	11 : 13	17 : 7	17 : 7	23 : 1	22 : 2	18 : 6	21 : 3	23 : 1	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
XOXO17	0 : 24	0 : 24	1 : 23	2 : 22	6 : 18	7 : 17	7 : 17	4 : 20	7 : 17	2 : 22	4 : 20	8 : 16	13 : 11	-	9 : 15	17 : 7	20 : 4	18 : 6	17 : 7	17 : 7	23 : 1	23 : 1	23 : 1	24 : 0	22 : 2	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
KANEC09	1 : 23	2 : 22	3 : 21	5 : 19	5 : 19	4 : 20	5 : 19	3 : 21	11 : 13	5 : 19	9 : 15	7 : 17	7 : 17	15 : 9	-	18 : 6	14 : 10	17 : 7	16 : 8	18 : 6	22 : 2	24 : 0	22 : 2	21 : 3	21 : 3	20 : 4	21 : 3	22 : 2	18 : 6	23 : 1	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
ZETOR17	0 : 24	2 : 22	0 : 24	0 : 24	1 : 23	0 : 24	7 : 17	4 : 20	9 : 15	3 : 21	8 : 16	9 : 15	7 : 17	7 : 17	6 : 18	-	20 : 4	21 : 3	19 : 5	17 : 7	21 : 3	21 : 3	23 : 1	23 : 1	23 : 1	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0	23 : 1	23 : 1	23 : 1	24 : 0	23 : 1	24 : 0	24 : 0
EULRING	0 : 24	0 : 24	0 : 24	1 : 23	1 : 23	0 : 24	2 : 22	5 : 19	0 : 24	2 : 22	3 : 21	5 : 19	1 : 23	4 : 20	10 : 14	4 : 20	-	9 : 15	10 : 14	16 : 8	15 : 9	21 : 3	22 : 2	22 : 2	17 : 7	23 : 1	22 : 2	23 : 1	24 : 0	23 : 1	23 : 1	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	23 : 1
LICHT	1 : 23	0 : 24	0 : 24	0 : 24	2 : 22	2 : 22	2 : 22	3 : 21	3 : 21	1 : 23	0 : 24	5 : 19	2 : 22	6 : 18	7 : 17	3 : 21	15 : 9	-	12 : 12	14 : 10	14 : 10	20 : 4	22 : 2	18 : 6	16 : 8	23 : 1	23 : 1	21 : 3	22 : 2	23 : 1	22 : 2	22 : 2	24 : 0	24 : 0	23 : 1	24 : 0	24 : 0
JUDE	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	7 : 17	0 : 24	2 : 22	0 : 24	6 : 18	7 : 17	8 : 16	5 : 19	14 : 10	12 : 12	-	16 : 8	13 : 11	16 : 8	17 : 7	21 : 3	20 : 4	21 : 3	20 : 4	22 : 2	23 : 1	23 : 1	20 : 4	19 : 5	23 : 1	23 : 1	22 : 2	24 : 0	22 : 2
PECUCHET	0 : 24	2 : 22	1 : 23	2 : 22	2 : 22	1 : 23	3 : 21	4 : 20	9 : 15	4 : 20	1 : 23	3 : 21	3 : 21	7 : 17	6 : 18	7 : 17	8 : 16	10 : 14	8 : 16	-	13 : 11	20 : 4	15 : 9	17 : 7	14 : 10	15 : 9	17 : 7	20 : 4	20 : 4	23 : 1	22 : 2	24 : 0	22 : 2	23 : 1	22 : 2	24 : 0	24 : 0
SPARKLE	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	1 : 23	1 : 23	1 : 23	0 : 24	1 : 23	2 : 22	1 : 23	1 : 23	2 : 22	3 : 21	9 : 15	10 : 14	11 : 13	11 : 13	-	16 : 8	21 : 3	17 : 5	20 : 4	22 : 2	22 : 2	22 : 0	24 : 0	22 : 2	23 : 1	21 : 3	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
