-	EMBRYO18	YIXIN18	GORO18	RAPFI	TITO14	WINE18	HEWER18	SLOWRENJU18	WHOSE18	SWINE17	GOFIVE	ALPHAGOMOKU.MK	DEEPFIRE	CARBON17	GMOTOR11	CHIS17	PELA17	XOXO18	EGO	KANEC09	ZETOR17	EULRING	LICHT	PECUCHET	JUDE	SPARKLE	DJALL18	QMENTAT6	ALPHAGOMOKU.GS	NOESIS	PUSKVOREC	IMRO15	FASTGOMOKU14	PISQ7	LIGHTBLUE	BENJAMIN	FIVEROW	VALKYRIE	STAHLFAUST	CRUSHER	PROLOG	MUSHROOM	WHATATEAM	PUREROCKY
ZETOR17	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	1 : 23	1 : 23	3 : 21	1 : 23	4 : 20	4 : 20	5 : 19	6 : 18	4 : 20	9 : 15	7 : 17	9 : 15	7 : 17	7 : 17	8 : 16	-	15 : 9	18 : 6	19 : 5	20 : 4	20 : 4	21 : 3	22 : 2	20 : 4	20 : 4	23 : 1	24 : 0	22 : 2	23 : 1	24 : 0	24 : 0	24 : 0	23 : 1	24 : 0	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0
EULRING	0 : 24	1 : 23	0 : 24	0 : 24	1 : 23	3 : 21	0 : 24	2 : 22	3 : 21	2 : 22	1 : 23	4 : 20	0 : 24	3 : 21	5 : 19	4 : 20	5 : 19	4 : 20	6 : 18	13 : 11	9 : 15	-	18 : 6	18 : 6	18 : 6	18 : 6	15 : 9	20 : 4	21 : 3	18 : 6	23 : 1	21 : 3	22 : 2	21 : 3	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
LICHT	0 : 24	0 : 24	0 : 24	1 : 23	2 : 22	3 : 21	2 : 22	1 : 23	2 : 22	0 : 24	4 : 20	3 : 21	3 : 21	3 : 21	3 : 21	5 : 19	2 : 22	5 : 19	4 : 20	4 : 20	6 : 18	6 : 18	-	15 : 9	8 : 16	14 : 10	20 : 4	16 : 8	23 : 1	17 : 7	23 : 1	19 : 5	23 : 1	21 : 3	24 : 0	21 : 3	23 : 1	24 : 0	22 : 2	23 : 1	24 : 0	24 : 0	24 : 0	23 : 1
PECUCHET	0 : 24	1 : 23	0 : 24	2 : 22	2 : 22	2 : 22	1 : 23	3 : 21	5 : 19	1 : 23	2 : 22	3 : 21	2 : 22	5 : 19	1 : 23	4 : 20	7 : 17	7 : 17	4 : 20	6 : 18	5 : 19	6 : 18	9 : 15	-	8 : 16	13 : 11	13 : 11	16 : 8	17 : 7	22 : 2	20 : 4	13 : 11	19 : 5	20 : 4	20 : 4	21 : 3	24 : 0	24 : 0	22 : 2	23 : 1	24 : 0	24 : 0	24 : 0	22 : 2
JUDE	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	2 : 22	0 : 24	0 : 24	0 : 24	2 : 22	0 : 24	1 : 23	2 : 22	1 : 23	4 : 20	2 : 22	3 : 21	5 : 19	6 : 18	6 : 18	4 : 20	6 : 18	16 : 8	16 : 8	-	15 : 9	19 : 5	10 : 14	19 : 5	17 : 7	17 : 7	19 : 5	19 : 5	21 : 3	22 : 2	23 : 1	23 : 1	22 : 2	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	23 : 1
SPARKLE	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	2 : 22	1 : 23	1 : 23	0 : 24	1 : 23	1 : 23	3 : 21	4 : 20	4 : 20	6 : 18	10 : 14	11 : 13	9 : 15	-	12 : 12	18 : 6	19 : 5	15 : 9	18 : 6	18 : 6	19 : 3	22 : 2	24 : 0	24 : 0	24 : 0	24 : 0	23 : 1	22 : 2	24 : 0	24 : 0	24 : 0	22 : 2
DJALL18	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	2 : 22	0 : 24	0 : 24	0 : 24	0 : 24	2 : 22	3 : 21	0 : 23	3 : 21	3 : 21	6 : 18	3 : 21	9 : 15	4 : 20	11 : 13	5 : 19	12 : 12	-	18 : 6	5 : 19	15 : 7	13 : 11	6 : 7	19 : 2	22 : 2	22 : 2	24 : 0	13 : 11	21 : 3	23 : 1	22 : 2	23 : 1	23 : 1	24 : 0	21 : 3
QMENTAT6	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	1 : 23	2 : 22	4 : 20	8 : 16	8 : 16	14 : 10	6 : 18	6 : 18	-	14 : 10	13 : 6	18 : 6	15 : 8	20 : 4	19 : 4	24 : 0	17 : 0	22 : 2	22 : 2	23 : 1	24 : 0	24 : 0	24 : 0	24 : 0	24 : 0
ALPHAGOMOKU.GS	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	2 : 22	1 : 23	1 : 23	1 : 23	0 : 24	1 : 23	1 : 23	2 : 22	1 : 23	2 : 22	2 : 22	4 : 20	1 : 23	1 : 23	4 : 20	4 : 20	3 : 21	1 : 23	7 : 17	5 : 19	5 : 19	19 : 5	10 : 14	-	11 : 13	12 : 12	14 : 10	19 : 5	18 : 6	16 : 8	23 : 1	17 : 7	20 : 4	17 : 7	19 : 5	18 : 6	21 : 3	24 : 0	20 : 4
NOESIS	0 : 24	1 : 23	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	1 : 23	3 : 21	0 : 24	1 : 23	2 : 22	1 : 23	4 : 20	2 : 22	0 : 24	0 : 24	3 : 21	1 : 23	4 : 20	4 : 20	6 : 18	7 : 17	2 : 22	7 : 17	9 : 15	7 : 15	6 : 13	13 : 11	-	9 : 15	8 : 14	10 : 7	10 : 13	19 : 0	16 : 0	18 : 6	22 : 2	21 : 3	23 : 1	24 : 0	21 : 3	21 : 3	19 : 5
