-	EMBRYO19	RAPFI19	YIXIN18	STARDUST	WULIN	HEWER18	XOXO19	ALPHAGOMOKU.MK19	WHOSE19	SLOWRENJU19	WINE18	TITO14	SWINE17	DEEPFIRE19	GOFIVE	PENTAZEN	CARBON17	PELA17	CHIS17	EGO19	GMOTOR11	KANEC09	ZETOR17	PECUCHET	EULRING	LICHT	ALPHAGOMOKU.GS	SPARKLE	JUDE	MONKEY	DJALL18	QMENTAT6	NOESIS	PUSKVOREC	IMRO15	FASTGOMOKU14	PISQ7	BENJAMIN	FIVEROW	VALKYRIE	LIGHTBLUE	STAHLFAUST	PUREROCKY	CRUSHER	PROLOG	MUSHROOM	WHATATEAM
NOESIS	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	1 : 23	1 : 23	1 : 23	1 : 23	0 : 24	1 : 23	0 : 24	1 : 23	3 : 21	3 : 21	1 : 22	4 : 20	4 : 20	3 : 21	11 : 13	5 : 19	8 : 16	5 : 19	9 : 15	5 : 18	11 : 10	-	8 : 16	12 : 12	11 : 10	14 : 10	14 : 5	16 : 8	20 : 4	21 : 2	23 : 1	18 : 3	22 : 2	24 : 0	24 : 0	20 : 4
PUSKVOREC	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	0 : 24	0 : 24	2 : 22	3 : 21	7 : 17	1 : 23	2 : 22	3 : 21	1 : 23	7 : 17	5 : 19	11 : 13	6 : 18	16 : 8	-	19 : 5	16 : 8	21 : 3	18 : 6	16 : 8	19 : 5	20 : 4	15 : 9	22 : 2	23 : 1	23 : 1	23 : 1	24 : 0
IMRO15	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	5 : 19	1 : 23	9 : 15	5 : 19	3 : 21	2 : 22	6 : 18	10 : 14	5 : 19	5 : 10	9 : 12	12 : 12	5 : 19	-	17 : 6	14 : 10	21 : 3	14 : 10	17 : 7	21 : 3	17 : 7	22 : 2	21 : 3	20 : 4	23 : 1	24 : 0
FASTGOMOKU14	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	9 : 15	4 : 20	3 : 21	1 : 23	2 : 21	4 : 20	6 : 18	2 : 20	3 : 20	10 : 11	8 : 16	6 : 17	-	14 : 10	17 : 3	13 : 11	16 : 8	16 : 8	15 : 9	20 : 4	22 : 2	23 : 1	24 : 0	24 : 0
PISQ7	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	0 : 24	2 : 22	1 : 23	4 : 20	1 : 23	0 : 24	4 : 20	2 : 22	6 : 18	3 : 21	5 : 19	2 : 22	10 : 14	3 : 21	10 : 14	10 : 14	-	17 : 6	12 : 12	15 : 9	20 : 4	18 : 6	17 : 7	22 : 2	19 : 5	22 : 2	24 : 0
BENJAMIN	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	3 : 21	0 : 24	3 : 21	3 : 21	2 : 22	2 : 22	0 : 24	3 : 21	2 : 22	0 : 24	1 : 14	5 : 14	6 : 18	3 : 21	3 : 17	6 : 17	-	13 : 11	11 : 13	10 : 14	23 : 1	9 : 15	21 : 3	23 : 1	24 : 0	24 : 0
FIVEROW	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	1 : 23	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	1 : 23	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	2 : 22	2 : 22	2 : 22	2 : 22	1 : 23	3 : 21	5 : 19	5 : 19	8 : 16	5 : 19	8 : 16	8 : 16	10 : 14	11 : 13	12 : 12	11 : 13	-	13 : 11	8 : 16	12 : 12	16 : 8	11 : 13	8 : 16	18 : 6	24 : 0
VALKYRIE	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	2 : 22	2 : 22	1 : 23	3 : 21	1 : 23	1 : 23	2 : 22	10 : 14	1 : 23	4 : 20	5 : 19	7 : 17	8 : 16	9 : 15	13 : 11	11 : 13	-	12 : 12	12 : 12	16 : 8	16 : 8	22 : 2	20 : 4	24 : 0
LIGHTBLUE	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	2 : 22	4 : 20	5 : 18	2 : 21	4 : 20	3 : 21	8 : 16	4 : 20	14 : 10	16 : 8	12 : 12	-	8 : 16	13 : 11	17 : 7	22 : 2	23 : 1	24 : 0
STAHLFAUST	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	1 : 23	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	0 : 24	2 : 22	3 : 21	1 : 23	1 : 23	0 : 24	0 : 24	1 : 23	9 : 15	7 : 17	9 : 15	6 : 18	1 : 23	12 : 12	12 : 12	16 : 8	-	12 : 12	16 : 8	16 : 8	20 : 4	23 : 1
